timestamp,log_type,EventID,user,action,risk,severity,date,hour,source_ip,process_name
2026-03-27 18:47:41.692379+00:00,sysmon1st.evtx,1,admin,Process Created,NORMAL,LOW,2026-03-27,18,192.168.1.118,powershell.exe
2026-03-27 18:47:41.692778+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,18,10.0.0.128,python.exe
2026-03-27 18:48:13.093681+00:00,sysmon1st.evtx,1,svc_backup,Process Created,NORMAL,LOW,2026-03-27,18,10.0.0.165,python.exe
2026-03-27 18:48:13.121437+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,18,192.168.1.74,cmd.exe
2026-03-27 18:50:30.521914+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,18,10.0.0.136,cmd.exe
2026-03-27 18:51:59.291872+00:00,sysmon1st.evtx,1,svc_backup,Process Created,NORMAL,LOW,2026-03-27,18,192.168.1.71,python.exe
2026-03-27 18:52:27.632399+00:00,sysmon1st.evtx,1,alice,Process Created,NORMAL,LOW,2026-03-27,18,10.0.0.129,powershell.exe
2026-03-27 18:57:16.441404+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,18,10.0.0.197,powershell.exe
2026-03-27 18:57:16.674599+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,18,192.168.1.33,powershell.exe
2026-03-27 19:00:01.893688+00:00,sysmon1st.evtx,1,svc_backup,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.254,cmd.exe
2026-03-27 19:08:32.043570+00:00,sysmon1st.evtx,1,analyst,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.42,python.exe
2026-03-27 19:08:32.286949+00:00,sysmon1st.evtx,1,alice,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.175,cmd.exe
2026-03-27 19:08:32.566284+00:00,sysmon1st.evtx,1,admin,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.215,cmd.exe
2026-03-27 19:08:32.903387+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.83,cmd.exe
2026-03-27 19:08:32.904554+00:00,sysmon1st.evtx,1,svc_backup,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.120,powershell.exe
2026-03-27 19:08:33.310822+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.57,cmd.exe
2026-03-27 19:08:33.640076+00:00,sysmon1st.evtx,1,analyst,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.96,python.exe
2026-03-27 19:08:33.644634+00:00,sysmon1st.evtx,1,svc_backup,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.23,cmd.exe
2026-03-27 19:08:33.645660+00:00,sysmon1st.evtx,1,svc_backup,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.201,powershell.exe
2026-03-27 19:08:35.699183+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.40,python.exe
2026-03-27 19:08:36.595425+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.246,python.exe
2026-03-27 19:08:42.376949+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.17,cmd.exe
2026-03-27 19:08:55.772411+00:00,sysmon1st.evtx,1,admin,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.195,cmd.exe
2026-03-27 19:08:55.775770+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.150,powershell.exe
2026-03-27 19:08:56.643213+00:00,sysmon1st.evtx,1,svc_backup,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.149,cmd.exe
2026-03-27 19:08:56.694426+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.104,cmd.exe
2026-03-27 19:08:56.817945+00:00,sysmon1st.evtx,1,alice,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.152,cmd.exe
2026-03-27 19:08:57.137989+00:00,sysmon1st.evtx,1,analyst,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.82,powershell.exe
2026-03-27 19:09:02.850849+00:00,sysmon1st.evtx,1,alice,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.91,powershell.exe
2026-03-27 19:09:32.973024+00:00,sysmon1st.evtx,1,alice,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.22,cmd.exe
2026-03-27 19:09:34.374414+00:00,sysmon1st.evtx,1,admin,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.41,python.exe
2026-03-27 19:09:55.304132+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.147,cmd.exe
2026-03-27 19:10:32.797125+00:00,sysmon1st.evtx,1,admin,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.201,cmd.exe
2026-03-27 19:11:22.554585+00:00,sysmon1st.evtx,1,svc_backup,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.178,powershell.exe
2026-03-27 19:11:28.423447+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.185,powershell.exe
2026-03-27 19:11:56.327641+00:00,sysmon1st.evtx,1,svc_backup,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.53,python.exe
2026-03-27 19:12:10.612831+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.105,cmd.exe
2026-03-27 19:12:18.232775+00:00,sysmon1st.evtx,1,admin,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.154,python.exe
2026-03-27 19:12:18.235416+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.52,cmd.exe
2026-03-27 19:14:00.295263+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.159,python.exe
2026-03-27 19:14:10.571634+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.106,powershell.exe
2026-03-27 19:14:12.622337+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.215,python.exe
2026-03-27 19:14:13.212181+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.162,python.exe
2026-03-27 19:14:13.732574+00:00,sysmon1st.evtx,1,alice,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.125,python.exe
2026-03-27 19:14:19.939693+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.189,powershell.exe
2026-03-27 19:14:20.237566+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.9,cmd.exe
2026-03-27 19:14:20.243368+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.22,python.exe
2026-03-27 19:14:22.263895+00:00,sysmon1st.evtx,1,analyst,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.38,powershell.exe
2026-03-27 19:16:22.053207+00:00,sysmon1st.evtx,1,admin,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.67,powershell.exe
2026-03-27 19:17:58.422665+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.163,powershell.exe
2026-03-27 19:17:58.800703+00:00,sysmon1st.evtx,1,alice,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.151,cmd.exe
2026-03-27 19:18:35.393332+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.19,powershell.exe
2026-03-27 19:18:57.513399+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.144,powershell.exe
2026-03-27 19:19:47.836874+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.221,python.exe
2026-03-27 19:20:01.531532+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.186,cmd.exe
2026-03-27 19:20:06.451134+00:00,sysmon1st.evtx,1,svc_backup,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.30,cmd.exe
2026-03-27 19:20:40.648653+00:00,sysmon1st.evtx,1,analyst,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.132,cmd.exe
2026-03-27 19:20:40.754221+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.207,powershell.exe
2026-03-27 19:21:58.251461+00:00,sysmon1st.evtx,22,guest,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,10.0.0.102,svchost.exe
2026-03-27 19:23:49.358944+00:00,sysmon1st.evtx,1,analyst,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.22,cmd.exe
2026-03-27 19:23:58.646606+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.243,python.exe
2026-03-27 19:24:17.617258+00:00,sysmon1st.evtx,22,guest,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,172.16.0.96,svchost.exe
2026-03-27 19:25:07.477066+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.182,python.exe
2026-03-27 19:25:13.911192+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.25,powershell.exe
2026-03-27 19:25:15.955130+00:00,sysmon1st.evtx,22,root,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,10.0.0.179,svchost.exe
2026-03-27 19:28:13.995331+00:00,sysmon1st.evtx,1,analyst,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.221,powershell.exe
2026-03-27 19:28:20.810785+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.232,cmd.exe
2026-03-27 19:28:31.515747+00:00,sysmon1st.evtx,22,svc_backup,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,192.168.1.198,svchost.exe
2026-03-27 19:28:31.641087+00:00,sysmon1st.evtx,3,admin,Network Connection,SUSPICIOUS,MEDIUM,2026-03-27,19,172.16.0.160,chrome.exe
2026-03-27 19:28:32.516796+00:00,sysmon1st.evtx,22,root,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,10.0.0.149,svchost.exe
2026-03-27 19:28:32.516880+00:00,sysmon1st.evtx,22,john,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,10.0.0.197,svchost.exe
2026-03-27 19:28:33.578379+00:00,sysmon1st.evtx,22,john,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,10.0.0.79,svchost.exe
2026-03-27 19:28:43.669643+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.211,python.exe
2026-03-27 19:30:58.236189+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.152,powershell.exe
2026-03-27 19:31:00.278578+00:00,sysmon1st.evtx,22,analyst,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,192.168.1.187,svchost.exe
2026-03-27 19:31:48.764853+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.41,cmd.exe
2026-03-27 19:33:17.488729+00:00,sysmon1st.evtx,1,alice,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.29,python.exe
2026-03-27 19:33:18.514853+00:00,sysmon1st.evtx,22,guest,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,10.0.0.122,svchost.exe
2026-03-27 19:34:13.677475+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.65,python.exe
2026-03-27 19:34:13.723013+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.209,powershell.exe
2026-03-27 19:34:15.556171+00:00,sysmon1st.evtx,1,analyst,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.199,python.exe
2026-03-27 19:34:25.097746+00:00,sysmon1st.evtx,22,root,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,172.16.0.28,svchost.exe
2026-03-27 19:34:50.633610+00:00,sysmon1st.evtx,1,guest,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.58,powershell.exe
2026-03-27 19:34:50.794046+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.187,python.exe
2026-03-27 19:35:05.260666+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.217,powershell.exe
2026-03-27 19:35:07.066244+00:00,sysmon1st.evtx,22,alice,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,192.168.1.53,svchost.exe
2026-03-27 19:35:08.292393+00:00,sysmon1st.evtx,3,guest,Network Connection,SUSPICIOUS,MEDIUM,2026-03-27,19,10.0.0.200,nmap.exe
2026-03-27 19:35:08.292496+00:00,sysmon1st.evtx,3,john,Network Connection,SUSPICIOUS,MEDIUM,2026-03-27,19,172.16.0.127,chrome.exe
2026-03-27 19:35:09.105732+00:00,sysmon1st.evtx,22,svc_backup,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,172.16.0.199,svchost.exe
2026-03-27 19:35:14.978846+00:00,sysmon1st.evtx,3,analyst,Network Connection,SUSPICIOUS,MEDIUM,2026-03-27,19,192.168.1.124,curl.exe
2026-03-27 19:35:15.759407+00:00,sysmon1st.evtx,3,guest,Network Connection,SUSPICIOUS,MEDIUM,2026-03-27,19,192.168.1.81,nmap.exe
2026-03-27 19:36:22.331892+00:00,sysmon1st.evtx,1,analyst,Process Created,NORMAL,LOW,2026-03-27,19,172.16.0.220,python.exe
2026-03-27 19:36:23.382246+00:00,sysmon1st.evtx,22,john,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,172.16.0.237,svchost.exe
2026-03-27 19:36:58.314430+00:00,sysmon1st.evtx,22,admin,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,192.168.1.97,svchost.exe
2026-03-27 19:39:35.522648+00:00,sysmon1st.evtx,1,root,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.142,python.exe
2026-03-27 19:41:36.880766+00:00,sysmon1st.evtx,1,john,Process Created,NORMAL,LOW,2026-03-27,19,192.168.1.251,powershell.exe
2026-03-27 19:41:36.904333+00:00,sysmon1st.evtx,1,admin,Process Created,NORMAL,LOW,2026-03-27,19,10.0.0.85,powershell.exe
2026-03-27 19:41:37.582241+00:00,sysmon1st.evtx,22,analyst,DNS Query,SUSPICIOUS,MEDIUM,2026-03-27,19,10.0.0.101,svchost.exe
