user,failed_login,success_login,process_events,network_events,dns_events,file_events,svc_events,log_cleared,cmd_events,collector_high,login_failure_ratio,activity_score,suspicion_score,worst_collector_status,iso_pred,svm_pred,rule_pred,ensemble_score,poison_flag,risk,confidence,access_level,response
LocalSystem,0,0,0,0,0,0,49,0,0,49,0.0,49,245.0,HIGH,1,0,1,2,0,HIGH,100.0,SOC_ANALYST,INVESTIGATE USER + MONITOR NETWORK
Certificate Service DCOM Access,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
RDS Remote Access Servers,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
RDS Endpoint Servers,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
RDS Management Servers,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
Access Control Assistance Operators,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
-,0,0,0,0,0,0,0,0,0,0,0.0,5,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
Event Log Readers,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
Cryptographic Operators,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
Remote Management Users,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
Performance Log Users,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
Hyper-V Administrators,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
Performance Monitor Users,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
Print Operators,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
IIS_IUSRS,0,0,0,0,0,0,0,0,0,0,0.0,3,0.0,LOW,0,0,0,0,0,LOW,0.0,VIEWER,NO ACTION REQUIRED
Remote Desktop Users,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
Network Configuration Operators,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
Distributed COM Users,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,LOW,0,1,0,1,0,MEDIUM,10.0,SOC_ANALYST,MONITOR CLOSELY + COLLECT EVIDENCE
SYSTEM,0,2,7,0,5,0,26,0,0,40,0.0,40,169.0,CRITICAL,1,0,1,2,0,CRITICAL,100.0,ADMIN_ONLY,BLOCK USER + ALERT ADMIN + ISOLATE MACHINE
analyst,0,0,0,0,3,0,0,0,0,3,0.0,3,10.5,HIGH,0,1,1,2,0,HIGH,61.2,SOC_ANALYST,INVESTIGATE USER + MONITOR NETWORK
john,0,0,21,1,4,0,0,0,15,26,0.0,26,130.5,CRITICAL,1,1,1,3,0,CRITICAL,100.0,ADMIN_ONLY,BLOCK USER + ALERT ADMIN + ISOLATE MACHINE
alice,0,0,32,12,0,0,0,0,18,44,0.0,44,200.0,CRITICAL,1,0,1,2,0,CRITICAL,100.0,ADMIN_ONLY,BLOCK USER + ALERT ADMIN + ISOLATE MACHINE
